group,home,away,pred_home,pred_away,home_win_prob,draw_prob,away_win_prob
A,Mexico,South Africa,1,0,0.486,0.14,0.374
A,Mexico,South Korea,1,1,0.386,0.14,0.474
A,Mexico,Czech Republic,2,0,0.712,0.14,0.148
A,South Africa,South Korea,1,2,0.11,0.44,0.45
A,South Africa,Czech Republic,0,2,0.167,0.281,0.552
A,South Korea,Czech Republic,2,1,0.611,0.14,0.249
B,Canada,Bosnia and Herzegovina,3,1,0.735,0.14,0.125
B,Canada,Qatar,1,0,0.506,0.14,0.354
B,Canada,Switzerland,0,1,0.228,0.14,0.632
B,Bosnia and Herzegovina,Qatar,2,0,0.262,0.44,0.298
B,Bosnia and Herzegovina,Switzerland,1,2,0.056,0.44,0.504
B,Qatar,Switzerland,0,1,0.063,0.391,0.546
C,Brazil,Morocco,1,0,0.67,0.14,0.19
C,Brazil,Haiti,2,0,0.837,0.14,0.023
C,Brazil,Scotland,2,0,0.747,0.213,0.04
C,Morocco,Haiti,1,0,0.705,0.14,0.155
C,Morocco,Scotland,0,0,0.487,0.14,0.373
C,Haiti,Scotland,0,2,0.2,0.151,0.649
D,United States,Paraguay,1,0,0.771,0.14,0.089
D,United States,Australia,1,0,0.414,0.14,0.446
D,United States,Turkey,1,1,0.428,0.14,0.432
D,Paraguay,Australia,0,1,0.167,0.44,0.393
D,Paraguay,Turkey,0,1,0.175,0.429,0.396
D,Australia,Turkey,0,1,0.289,0.223,0.488
E,Germany,Cote dIvoire,2,0,0.772,0.14,0.088
E,Germany,Thailand,2,0,0.832,0.14,0.028
E,Germany,Chile,1,0,0.733,0.14,0.127
E,Cote dIvoire,Thailand,1,0,0.435,0.44,0.125
E,Cote dIvoire,Chile,0,2,0.217,0.14,0.643
E,Thailand,Chile,0,1,0.086,0.14,0.774
F,Spain,Egypt,2,0,0.824,0.14,0.036
F,Spain,Tunisia,1,0,0.522,0.44,0.038
F,Spain,Costa Rica,1,0,0.655,0.316,0.03
F,Egypt,Tunisia,0,1,0.271,0.14,0.589
F,Egypt,Costa Rica,0,1,0.307,0.14,0.553
F,Tunisia,Costa Rica,1,0,0.424,0.14,0.436
G,England,Croatia,2,0,0.569,0.285,0.146
G,England,Ghana,1,0,0.504,0.14,0.356
G,England,Panama,4,0,0.736,0.234,0.031
G,Croatia,Ghana,2,0,0.574,0.271,0.155
G,Croatia,Panama,4,0,0.535,0.387,0.079
G,Ghana,Panama,3,0,0.393,0.44,0.167
H,France,Senegal,2,0,0.71,0.14,0.15
H,France,Iraq,2,0,0.848,0.14,0.012
H,France,Norway,2,0,0.798,0.14,0.062
H,Senegal,Iraq,2,0,0.797,0.14,0.063
H,Senegal,Norway,2,1,0.562,0.14,0.298
H,Iraq,Norway,0,1,0.086,0.14,0.774
I,Argentina,Algeria,1,0,0.828,0.14,0.032
I,Argentina,Austria,2,0,0.796,0.14,0.064
I,Argentina,Jordan,2,0,0.842,0.14,0.018
I,Algeria,Austria,0,2,0.177,0.14,0.683
I,Algeria,Jordan,1,0,0.603,0.156,0.241
I,Austria,Jordan,1,0,0.499,0.355,0.146
J,Portugal,DR Congo,2,0,0.829,0.14,0.031
J,Portugal,Uzbekistan,2,0,0.822,0.14,0.038
J,Portugal,Colombia,1,1,0.378,0.14,0.482
J,DR Congo,Uzbekistan,1,1,0.372,0.14,0.488
J,DR Congo,Colombia,0,2,0.042,0.14,0.818
J,Uzbekistan,Colombia,0,2,0.05,0.14,0.81
K,Netherlands,Iran,2,0,0.796,0.14,0.064
K,Netherlands,New Zealand,1,0,0.822,0.14,0.038
K,Netherlands,Japan,1,0,0.607,0.22,0.172
K,Iran,New Zealand,1,0,0.66,0.14,0.2
K,Iran,Japan,0,1,0.127,0.44,0.433
K,New Zealand,Japan,0,1,0.078,0.14,0.782
L,Belgium,Uruguay,1,0,0.694,0.14,0.166
L,Belgium,Sweden,1,0,0.74,0.14,0.12
L,Belgium,Saudi Arabia,2,0,0.773,0.14,0.087
L,Uruguay,Sweden,1,0,0.54,0.14,0.32
L,Uruguay,Saudi Arabia,1,0,0.691,0.14,0.169
L,Sweden,Saudi Arabia,1,0,0.634,0.14,0.226
