player,team,position,rating,goals_per_match,expected_matches,projected_goals
Lionel Messi,Argentina,Offence,9.8,0.588,4.86,2.86
Kylian Mbappé,France,Offence,9.5,0.57,4.88,2.78
Lamine Yamal,Spain,Offence,9.0,0.54,4.75,2.57
Harry Kane,England,Offence,9.2,0.552,4.5,2.48
Lautaro Martínez,Argentina,Offence,8.5,0.51,4.86,2.48
Julián Álvarez,Argentina,Offence,8.5,0.51,4.86,2.48
Florian Wirtz,Germany,Midfield,9.0,0.54,4.58,2.48
Jamal Musiala,Germany,Midfield,8.8,0.528,4.58,2.42
Pedri,Spain,Midfield,8.5,0.51,4.75,2.42
Cristiano Ronaldo,Portugal,Offence,8.8,0.528,4.57,2.41
Jude Bellingham,England,Midfield,8.8,0.528,4.5,2.38
Kai Havertz,Germany,Offence,8.5,0.51,4.58,2.34
Bruno Fernandes,Portugal,Midfield,8.5,0.51,4.57,2.33
Rafael Leão,Portugal,Offence,8.5,0.51,4.57,2.33
Bukayo Saka,England,Offence,8.5,0.51,4.5,2.3
Cody Gakpo,Netherlands,Offence,8.5,0.51,4.48,2.28
Neymar,Brazil,Offence,8.5,0.51,4.48,2.28
Luis Díaz,Colombia,Offence,8.5,0.51,4.41,2.25
Romelu Lukaku,Belgium,Offence,8.5,0.51,4.24,2.16
Sadio Mané,Senegal,Offence,8.5,0.51,4.03,2.06
Darwin Núñez,Uruguay,Offence,8.5,0.51,3.93,2.01
Erling Haaland,Norway,Offence,9.8,0.588,3.3,1.94
Jean-Philippe Mateta,France,Offence,6.0,0.36,4.88,1.76
Marcus Thuram-Ulien,France,Offence,6.0,0.36,4.88,1.76
Bradley Barcola,France,Offence,6.0,0.36,4.88,1.76
Ousmane Dembélé,France,Offence,6.0,0.36,4.88,1.76
Michael Olise,France,Offence,6.0,0.36,4.88,1.76
José Manuel López,Argentina,Offence,6.0,0.36,4.86,1.75
Nicolás González,Argentina,Offence,6.0,0.36,4.86,1.75
Giuliano Simeone,Argentina,Offence,6.0,0.36,4.86,1.75
Víctor Muñoz,Spain,Offence,6.0,0.36,4.75,1.71
Borja Iglesias,Spain,Offence,6.0,0.36,4.75,1.71
Yeremi Pino,Spain,Offence,6.0,0.36,4.75,1.71
Nico Williams,Spain,Offence,6.0,0.36,4.75,1.71
Jonathan David,Canada,Offence,8.5,0.51,3.28,1.67
Maximilian Beier,Germany,Offence,6.0,0.36,4.58,1.65
Deniz Undav,Germany,Offence,6.0,0.36,4.58,1.65
Nick Woltemade,Germany,Offence,6.0,0.36,4.58,1.65
Jamie Leweling,Germany,Offence,6.0,0.36,4.58,1.65
Leroy Sané,Germany,Offence,6.0,0.36,4.58,1.65
Pedro Neto,Portugal,Offence,6.0,0.36,4.57,1.64
Trincão,Portugal,Offence,6.0,0.36,4.57,1.64
Gonçalo Ramos,Portugal,Offence,6.0,0.36,4.57,1.64
Francisco Conceição,Portugal,Offence,6.0,0.36,4.57,1.64
João Félix,Portugal,Offence,6.0,0.36,4.57,1.64
Noni Madueke,England,Offence,6.0,0.36,4.5,1.62
Marcus Rashford,England,Offence,6.0,0.36,4.5,1.62
Ollie Watkins,England,Offence,6.0,0.36,4.5,1.62
Ivan Toney,England,Offence,6.0,0.36,4.5,1.62
Luiz Henrique,Brazil,Offence,6.0,0.36,4.48,1.61
Thiago,Brazil,Offence,6.0,0.36,4.48,1.61
Alexander Isak,Sweden,Offence,8.5,0.51,3.15,1.61
Viktor Gyökeres,Sweden,Offence,8.5,0.51,3.15,1.61
Brian Brobbey,Netherlands,Offence,6.0,0.36,4.48,1.61
Memphis Depay,Netherlands,Offence,6.0,0.36,4.48,1.61
Wout Weghorst,Netherlands,Offence,6.0,0.36,4.48,1.61
Vinicius Junior,Brazil,Offence,6.0,0.36,4.48,1.61
Matheus Cunha,Brazil,Offence,6.0,0.36,4.48,1.61
Raphinha,Brazil,Offence,6.0,0.36,4.48,1.61
Martinelli,Brazil,Offence,6.0,0.36,4.48,1.61
Rayan,Brazil,Offence,6.0,0.36,4.48,1.61
Justin Kluivert,Netherlands,Offence,6.0,0.36,4.48,1.61
Endrick,Brazil,Offence,6.0,0.36,4.48,1.61
Cucho Hernández,Colombia,Offence,6.0,0.36,4.41,1.59
Carlos Gómez,Colombia,Offence,6.0,0.36,4.41,1.59
Luis Suárez,Colombia,Offence,6.0,0.36,4.41,1.59
Jhon Córdoba,Colombia,Offence,6.0,0.36,4.41,1.59
Igor Matanovic,Croatia,Offence,6.0,0.36,4.31,1.55
Marco Pašalić,Croatia,Offence,6.0,0.36,4.31,1.55
Petar Musa,Croatia,Offence,6.0,0.36,4.31,1.55
Ante Budimir,Croatia,Offence,6.0,0.36,4.31,1.55
Ivan Perišić,Croatia,Offence,6.0,0.36,4.31,1.55
Andrej Kramarić,Croatia,Offence,6.0,0.36,4.31,1.55
Matias Fernandez-Pardo,Belgium,Offence,6.0,0.36,4.24,1.52
Leandro Trossard,Belgium,Offence,6.0,0.36,4.24,1.52
Charles De Ketelaere,Belgium,Offence,6.0,0.36,4.24,1.52
Enzo Fernández,Argentina,Midfield,5.0,0.3,4.86,1.46
N'Golo Kanté,France,Midfield,5.0,0.3,4.88,1.46
Leandro Paredes,Argentina,Midfield,5.0,0.3,4.86,1.46
Giovani Lo Celso,Argentina,Midfield,5.0,0.3,4.86,1.46
Exequiel Palacios,Argentina,Midfield,5.0,0.3,4.86,1.46
Alexis Mac Allister,Argentina,Midfield,5.0,0.3,4.86,1.46
Thiago Almada,Argentina,Midfield,5.0,0.3,4.86,1.46
Nico Paz,Argentina,Midfield,5.0,0.3,4.86,1.46
Rodrigo de Paul,Argentina,Midfield,5.0,0.3,4.86,1.46
Adrien Rabiot,France,Midfield,5.0,0.3,4.88,1.46
Aurélien Tchouameni,France,Midfield,5.0,0.3,4.88,1.46
Manu Koné,France,Midfield,5.0,0.3,4.88,1.46
Rayan Cherki,France,Midfield,5.0,0.3,4.88,1.46
Maghnes Akliouche,France,Midfield,5.0,0.3,4.88,1.46
Desire Doue,France,Midfield,5.0,0.3,4.88,1.46
Warren Zaïre-Emery,France,Midfield,5.0,0.3,4.88,1.46
Ibrahim M'Baye,Senegal,Offence,6.0,0.36,4.03,1.45
Assane Diao,Senegal,Offence,6.0,0.36,4.03,1.45
Nicolas Jackson,Senegal,Offence,6.0,0.36,4.03,1.45
Cherif Ndiaye,Senegal,Offence,6.0,0.36,4.03,1.45
Ahmadou Bamba Dieng,Senegal,Offence,6.0,0.36,4.03,1.45
César Huerta,Mexico,Offence,6.0,0.36,3.99,1.44
Alexis Vega,Mexico,Offence,6.0,0.36,3.99,1.44
Guillermo Martínez,Mexico,Offence,6.0,0.36,3.99,1.44
Raúl Jiménez,Mexico,Offence,6.0,0.36,3.99,1.44
Armando González,Mexico,Offence,6.0,0.36,3.99,1.44
Julián Quiñones,Mexico,Offence,6.0,0.36,3.99,1.44
Santiago Giménez,Mexico,Offence,6.0,0.36,3.99,1.44
Roberto Alvarado,Mexico,Offence,6.0,0.36,3.99,1.44
Ayoub El Kaabi,Morocco,Offence,6.0,0.36,3.97,1.43
Rodri,Spain,Midfield,5.0,0.3,4.75,1.43
Abdessamad Ezzalzouli,Morocco,Offence,6.0,0.36,3.97,1.43
Gessime Yassine,Morocco,Offence,6.0,0.36,3.97,1.43
Mikel Oyarzabal,Spain,Midfield,5.0,0.3,4.75,1.43
Pablo Gavira,Spain,Midfield,5.0,0.3,4.75,1.43
Ayoube Amaimouni-Echghouyab,Morocco,Offence,6.0,0.36,3.97,1.43
Martín Zubimendi,Spain,Midfield,5.0,0.3,4.75,1.43
Ferrán Torres,Spain,Midfield,5.0,0.3,4.75,1.43
Dani Olmo,Spain,Midfield,5.0,0.3,4.75,1.43
Mikel Merino,Spain,Midfield,5.0,0.3,4.75,1.43
Álex Baena,Spain,Midfield,5.0,0.3,4.75,1.43
Marcos Llorente,Spain,Midfield,5.0,0.3,4.75,1.43
Fabián Ruiz,Spain,Midfield,5.0,0.3,4.75,1.43
Soufiane Rahimi,Morocco,Offence,6.0,0.36,3.97,1.43
Federico Viñas,Uruguay,Offence,6.0,0.36,3.93,1.42
Agustín Canobbio,Uruguay,Offence,6.0,0.36,3.93,1.42
Rodrigo Aguirre,Uruguay,Offence,6.0,0.36,3.93,1.42
Ricardo Pepi,United States,Offence,6.0,0.36,3.86,1.39
Folarin Balogun,United States,Offence,6.0,0.36,3.86,1.39
Max Arfsten,United States,Offence,6.0,0.36,3.86,1.39
Haji Wright,United States,Offence,6.0,0.36,3.86,1.39
Tim Weah,United States,Offence,6.0,0.36,3.86,1.39
Christian Pulisic,United States,Offence,6.0,0.36,3.86,1.39
Pascal Groß,Germany,Midfield,5.0,0.3,4.58,1.38
Felix Kalu Nmecha,Germany,Midfield,5.0,0.3,4.58,1.38
Assan Ouédraogo,Germany,Midfield,5.0,0.3,4.58,1.38
Aleksandar Pavlović,Germany,Midfield,5.0,0.3,4.58,1.38
Angelo Stiller,Germany,Midfield,5.0,0.3,4.58,1.38
Joshua Kimmich,Germany,Midfield,5.0,0.3,4.58,1.38
Nadiem Amiri,Germany,Midfield,5.0,0.3,4.58,1.38
Leon Goretzka,Germany,Midfield,5.0,0.3,4.58,1.38
Samuel Almeida Costa,Portugal,Midfield,5.0,0.3,4.57,1.37
Bernardo Silva,Portugal,Midfield,5.0,0.3,4.57,1.37
Joao Neves,Portugal,Midfield,5.0,0.3,4.57,1.37
Vitinha,Portugal,Midfield,5.0,0.3,4.57,1.37
Gonçalo Guedes,Portugal,Midfield,5.0,0.3,4.57,1.37
Rúben Neves,Portugal,Midfield,5.0,0.3,4.57,1.37
Daizen Maeda,Japan,Offence,6.0,0.36,3.79,1.36
Ritsu Doan,Japan,Offence,6.0,0.36,3.79,1.36
Koki Ogawa,Japan,Offence,6.0,0.36,3.79,1.36
Junya Ito,Japan,Offence,6.0,0.36,3.79,1.36
Ayase Ueda,Japan,Offence,6.0,0.36,3.79,1.36
Kento Shiogai,Japan,Offence,6.0,0.36,3.79,1.36
Keisuke Goto,Japan,Offence,6.0,0.36,3.79,1.36
Breel Embolo,Switzerland,Offence,6.0,0.36,3.75,1.35
Zeki Amdouni,Switzerland,Offence,6.0,0.36,3.75,1.35
Dan Ndoye,Switzerland,Offence,6.0,0.36,3.75,1.35
Cédric Itten,Switzerland,Offence,6.0,0.36,3.75,1.35
Noah Okafor,Switzerland,Offence,6.0,0.36,3.75,1.35
Anthony Gordon,England,Midfield,5.0,0.3,4.5,1.35
Kobbie Mainoo,England,Midfield,5.0,0.3,4.5,1.35
Elliot Anderson,England,Midfield,5.0,0.3,4.5,1.35
Morgan Rogers,England,Midfield,5.0,0.3,4.5,1.35
Declan Rice,England,Midfield,5.0,0.3,4.5,1.35
Eberechi Eze,England,Midfield,5.0,0.3,4.5,1.35
Jordan Henderson,England,Midfield,5.0,0.3,4.5,1.35
Casemiro,Brazil,Midfield,5.0,0.3,4.48,1.34
Lucas Paquetá,Brazil,Midfield,5.0,0.3,4.48,1.34
Bruno Guimarães,Brazil,Midfield,5.0,0.3,4.48,1.34
Fabinho,Brazil,Midfield,5.0,0.3,4.48,1.34
Donyell Malen,Netherlands,Midfield,5.0,0.3,4.48,1.34
Frenkie de Jong,Netherlands,Midfield,5.0,0.3,4.48,1.34
Noa Lang,Netherlands,Midfield,5.0,0.3,4.48,1.34
Guus Til,Netherlands,Midfield,5.0,0.3,4.48,1.34
Teun Koopmeiners,Netherlands,Midfield,5.0,0.3,4.48,1.34
Danilo dos Santos de Oliveira,Brazil,Midfield,5.0,0.3,4.48,1.34
Crysencio Summerville,Netherlands,Midfield,5.0,0.3,4.48,1.34
Quinten Timber,Netherlands,Midfield,5.0,0.3,4.48,1.34
Marten de Roon,Netherlands,Midfield,5.0,0.3,4.48,1.34
Mats Wieffer,Netherlands,Midfield,5.0,0.3,4.48,1.34
Tijjani Reijnders,Netherlands,Midfield,5.0,0.3,4.48,1.34
Ryan Gravenberch,Netherlands,Midfield,5.0,0.3,4.48,1.34
Shahriar Moghanlou,Iran,Offence,6.0,0.36,3.69,1.33
Mehdi Taremi,Iran,Offence,6.0,0.36,3.69,1.33
Alireza Jahanbakhsh,Iran,Offence,6.0,0.36,3.69,1.33
Ali Alipour,Iran,Offence,6.0,0.36,3.69,1.33
Dennis Eckert,Iran,Offence,6.0,0.36,3.69,1.33
Amir Hosseinzadeh,Iran,Offence,6.0,0.36,3.69,1.33
Saman Ghoddos,Iran,Offence,6.0,0.36,3.69,1.33
Mohammad Mohebi,Iran,Offence,6.0,0.36,3.69,1.33
Juan Portilla,Colombia,Midfield,5.0,0.3,4.41,1.32
Gustavo Puerta,Colombia,Midfield,5.0,0.3,4.41,1.32
James Rodríguez,Colombia,Midfield,5.0,0.3,4.41,1.32
Jefferson Lerma,Colombia,Midfield,5.0,0.3,4.41,1.32
Jaminton Campaz,Colombia,Midfield,5.0,0.3,4.41,1.32
Juan Quintero,Colombia,Midfield,5.0,0.3,4.41,1.32
Kevin Castaño,Colombia,Midfield,5.0,0.3,4.41,1.32
Jorge Carrascal,Colombia,Midfield,5.0,0.3,4.41,1.32
Jhon Arias,Colombia,Midfield,5.0,0.3,4.41,1.32
Richard Rios,Colombia,Midfield,5.0,0.3,4.41,1.32
Mateo Kovačić,Croatia,Midfield,5.0,0.3,4.31,1.29
Luka Modrić,Croatia,Midfield,5.0,0.3,4.31,1.29
Mario Pašalić,Croatia,Midfield,5.0,0.3,4.31,1.29
Nikola Vlašić,Croatia,Midfield,5.0,0.3,4.31,1.29
Nikola Moro,Croatia,Midfield,5.0,0.3,4.31,1.29
Kristijan Jakić,Croatia,Midfield,5.0,0.3,4.31,1.29
Petar Sucic,Croatia,Midfield,5.0,0.3,4.31,1.29
Martin Baturina,Croatia,Midfield,5.0,0.3,4.31,1.29
Toni Fruk,Croatia,Midfield,5.0,0.3,4.31,1.29
Luka Sučić,Croatia,Midfield,5.0,0.3,4.31,1.29
Anthony Valencia,Ecuador,Offence,6.0,0.36,3.51,1.27
Nicolas Raskin,Belgium,Midfield,5.0,0.3,4.24,1.27
Michael Gregoritsch,Austria,Offence,6.0,0.36,3.53,1.27
Marko Arnautovic,Austria,Offence,6.0,0.36,3.53,1.27
Saša Kalajdžić,Austria,Offence,6.0,0.36,3.53,1.27
Nilson Angulo,Ecuador,Offence,6.0,0.36,3.51,1.27
Kevin De Bruyne,Belgium,Midfield,5.0,0.3,4.24,1.27
Axel Witsel,Belgium,Midfield,5.0,0.3,4.24,1.27
Youri Tielemans,Belgium,Midfield,5.0,0.3,4.24,1.27
Alexis Saelemaekers,Belgium,Midfield,5.0,0.3,4.24,1.27
Hans Vanaken,Belgium,Midfield,5.0,0.3,4.24,1.27
Dodi Lukebakio,Belgium,Midfield,5.0,0.3,4.24,1.27
Jeremy Doku,Belgium,Midfield,5.0,0.3,4.24,1.27
Amadou Onana,Belgium,Midfield,5.0,0.3,4.24,1.27
Diego Moreira,Belgium,Midfield,5.0,0.3,4.24,1.27
John Yeboah,Ecuador,Offence,6.0,0.36,3.51,1.27
Enner Valencia,Ecuador,Offence,6.0,0.36,3.51,1.27
Jordy Caicedo,Ecuador,Offence,6.0,0.36,3.51,1.27
Jeremy,Ecuador,Offence,6.0,0.36,3.51,1.27
Kevin Rodríguez,Ecuador,Offence,6.0,0.36,3.51,1.27
Hwang Heechan,South Korea,Offence,6.0,0.36,3.5,1.26
Heung-min Son,South Korea,Offence,6.0,0.36,3.5,1.26
Hyun-jun Yang,South Korea,Offence,6.0,0.36,3.5,1.26
Gue-Sung Cho,South Korea,Offence,6.0,0.36,3.5,1.26
Ji-sung Eom,South Korea,Offence,6.0,0.36,3.5,1.26
Hyun-Gyu Oh,South Korea,Offence,6.0,0.36,3.5,1.26
Pathé Ciss,Senegal,Midfield,5.0,0.3,4.03,1.21
Idrissa Gana Guèye,Senegal,Midfield,5.0,0.3,4.03,1.21
