player_name,team,total_goals,matches_with_goals,goals_per_match
WC-1954,Hungary,27,5,5.4
WC-1954,West Germany,25,6,4.166666666666667
WC-1958,France,23,6,3.8333333333333335
WC-1950,Brazil,22,6,3.6666666666666665
WC-1970,Brazil,19,6,3.1666666666666665
WC-2002,Brazil,18,7,2.5714285714285716
WC-2014,Germany,18,7,2.5714285714285716
WC-1930,Argentina,18,5,3.6
WC-1966,Portugal,17,6,2.8333333333333335
WC-1954,Austria,17,5,3.4
WC-1970,West Germany,17,6,2.8333333333333335
WC-1982,France,16,7,2.2857142857142856
WC-2010,Germany,16,5,3.2
WC-2022,France,16,6,2.6666666666666665
WC-1974,Poland,16,6,2.6666666666666665
WC-2018,Belgium,16,6,2.6666666666666665
WC-1958,Brazil,16,5,3.2
WC-1954,Uruguay,16,5,3.2
WC-2014,Netherlands,15,5,3.0
WC-1950,Uruguay,15,4,3.75
WC-1994,Sweden,15,6,2.5
WC-1982,Brazil,15,5,3.0
WC-1966,West Germany,15,5,3.0
WC-1974,Netherlands,15,6,2.5
WC-2022,Argentina,15,7,2.142857142857143
WC-1998,France,15,6,2.5
WC-1930,Uruguay,15,4,3.75
WC-1938,Hungary,15,4,3.75
WC-1978,Netherlands,15,6,2.5
WC-1990,West Germany,15,7,2.142857142857143
WC-1978,Argentina,15,5,3.0
WC-2006,Germany,14,6,2.3333333333333335
WC-2002,Germany,14,6,2.3333333333333335
WC-1998,Brazil,14,6,2.3333333333333335
WC-2018,Croatia,14,7,2.0
WC-1962,Brazil,14,5,2.8
WC-1986,Argentina,14,7,2.0
WC-1938,Brazil,14,5,2.8
WC-2018,France,14,6,2.3333333333333335
WC-1998,Netherlands,13,6,2.1666666666666665
WC-2022,England,13,4,3.25
WC-1974,West Germany,13,6,2.1666666666666665
WC-1982,Italy,12,6,2.0
WC-2010,Netherlands,12,6,2.0
WC-2022,Portugal,12,4,3.0
WC-2018,England,12,5,2.4
WC-1982,Hungary,12,3,4.0
WC-1974,Yugoslavia,12,4,3.0
WC-1958,Sweden,12,5,2.4
WC-1958,West Germany,12,6,2.0
WC-1986,Soviet Union,12,4,3.0
WC-1986,France,12,6,2.0
WC-1986,Belgium,12,6,2.0
WC-2006,Italy,12,7,1.7142857142857142
WC-2014,Colombia,12,5,2.4
WC-1934,Italy,12,5,2.4
WC-1982,West Germany,12,6,2.0
WC-2006,Argentina,11,4,2.75
WC-1966,England,11,5,2.2
WC-1986,Spain,11,4,2.75
WC-2014,Brazil,11,5,2.2
WC-1982,Poland,11,3,3.6666666666666665
WC-2010,Uruguay,11,6,1.8333333333333333
WC-1994,Brazil,11,6,1.8333333333333333
WC-1998,Croatia,11,6,1.8333333333333333
WC-1950,Sweden,11,5,2.2
WC-1938,Italy,11,4,2.75
WC-1954,Switzerland,11,3,3.6666666666666665
WC-1938,Sweden,11,3,3.6666666666666665
WC-2018,Russia,11,4,2.75
WC-1934,Germany,11,4,2.75
WC-2002,Turkey,10,6,1.6666666666666667
WC-2002,Spain,10,4,2.5
WC-1998,Argentina,10,5,2.0
WC-1994,Bulgaria,10,5,2.0
WC-1970,Italy,10,4,2.5
WC-1962,Chile,10,5,2.0
WC-1994,Spain,10,5,2.0
WC-1950,Spain,10,6,1.6666666666666667
WC-1962,Yugoslavia,10,4,2.5
WC-1966,Soviet Union,10,6,1.6666666666666667
WC-1978,Brazil,10,5,2.0
WC-1994,Romania,10,5,2.0
WC-1986,Denmark,10,4,2.5
WC-2010,Argentina,10,4,2.5
WC-1978,West Germany,10,3,3.3333333333333335
WC-1990,Italy,10,7,1.4285714285714286
WC-1954,Turkey,10,3,3.3333333333333335
WC-1990,Czechoslovakia,10,3,3.3333333333333335
WC-2022,Netherlands,10,5,2.0
WC-2014,France,10,3,3.3333333333333335
WC-1986,Brazil,10,5,2.0
WC-2006,Brazil,10,4,2.5
WC-1978,Italy,9,6,1.5
WC-1934,Czechoslovakia,9,4,2.25
WC-1994,Germany,9,5,1.8
WC-1970,Peru,9,4,2.25
WC-2006,France,9,6,1.5
WC-2006,Spain,9,4,2.25
WC-2010,Brazil,9,4,2.25
WC-1974,Argentina,9,5,1.8
WC-1958,Paraguay,9,3,3.0
WC-1998,Denmark,9,5,1.8
WC-1962,Soviet Union,9,4,2.25
WC-1958,Czechoslovakia,9,3,3.0
WC-2022,Spain,9,3,3.0
WC-2022,Croatia,8,4,2.0
WC-2018,Brazil,8,5,1.6
WC-1994,Italy,8,5,1.6
WC-1990,England,8,6,1.3333333333333333
WC-2010,Spain,8,6,1.3333333333333333
WC-1982,Argentina,8,4,2.0
WC-1954,England,8,3,2.6666666666666665
WC-1954,Brazil,8,3,2.6666666666666665
WC-1962,Hungary,8,2,4.0
WC-1994,Argentina,8,3,2.6666666666666665
