team,team_id,player_name,position,dob,nationality
Uruguay,758,Fernando Muslera,Goalkeeper,1986-06-16,Uruguay
Uruguay,758,Santiago Mele,Goalkeeper,1997-09-06,Uruguay
Uruguay,758,Sergio Rochet,Goalkeeper,1993-03-23,Uruguay
Uruguay,758,Guillermo Varela,Defence,1993-03-24,Uruguay
Uruguay,758,Ronald Araújo,Defence,1999-03-07,Uruguay
Uruguay,758,Sebastían Cáceres,Defence,1999-08-18,Uruguay
Uruguay,758,Matías Viña,Defence,1997-11-09,Uruguay
Uruguay,758,Joaquín Piquerez,Defence,1998-08-24,Uruguay
Uruguay,758,Maximiliano Araújo,Defence,2000-02-15,Uruguay
Uruguay,758,Mathías Olivera,Defence,1997-10-31,Uruguay
Uruguay,758,Santiago Bueno,Defence,1998-11-09,Uruguay
Uruguay,758,José Giménez,Defence,1995-01-20,Uruguay
Uruguay,758,Federico Valverde,Midfield,1998-07-22,Uruguay
Uruguay,758,Giorgian De Arrascaeta,Midfield,1994-06-01,Uruguay
Uruguay,758,Rodrigo Bentancur,Midfield,1997-06-25,Uruguay
Uruguay,758,Manuel Ugarte,Midfield,2001-04-11,Uruguay
Uruguay,758,Brian Rodríguez,Midfield,2000-05-20,Uruguay
Uruguay,758,Rodrigo Zalazar,Midfield,1999-08-12,Uruguay
Uruguay,758,Facundo Pellistri,Midfield,2001-12-20,Uruguay
Uruguay,758,Emiliano Martínez,Midfield,1999-08-17,Uruguay
Uruguay,758,Juan Sanabria,Midfield,2000-03-29,Uruguay
Uruguay,758,Nicolas de la Cruz,Midfield,1997-06-01,Uruguay
Uruguay,758,Rodrigo Aguirre,Offence,1994-10-01,Uruguay
Uruguay,758,Darwin Núñez,Offence,1999-06-24,Uruguay
Uruguay,758,Agustín Canobbio,Offence,1998-10-01,Uruguay
Uruguay,758,Federico Viñas,Offence,1998-06-30,Uruguay
Germany,759,Oliver Baumann,Goalkeeper,1990-06-02,Germany
Germany,759,Manuel Neuer,Goalkeeper,1986-03-27,Germany
Germany,759,Alexander Nübel,Goalkeeper,1996-09-30,Germany
Germany,759,Jonathan Tah,Defence,1996-02-11,Germany
Germany,759,Waldemar Anton,Defence,1996-07-20,Germany
Germany,759,Antonio Rüdiger,Defence,1993-03-03,Germany
Germany,759,David Raum,Defence,1998-04-22,Germany
Germany,759,Nico Schlotterbeck,Defence,1999-12-01,Germany
Germany,759,Malick Thiaw,Defence,2001-08-08,Germany
Germany,759,Nathaniel Brown,Defence,2003-06-16,Germany
Germany,759,Nadiem Amiri,Midfield,1996-10-27,Germany
Germany,759,Joshua Kimmich,Midfield,1995-02-08,Germany
Germany,759,Leon Goretzka,Midfield,1995-02-06,Germany
Germany,759,Pascal Groß,Midfield,1991-06-15,Germany
Germany,759,Florian Wirtz,Midfield,2003-05-03,Germany
Germany,759,Felix Kalu Nmecha,Midfield,2000-10-10,Germany
Germany,759,Angelo Stiller,Midfield,2001-04-04,Germany
Germany,759,Jamal Musiala,Midfield,2003-02-26,Germany
Germany,759,Aleksandar Pavlović,Midfield,2004-05-03,Germany
Germany,759,Assan Ouédraogo,Midfield,2006-05-09,Germany
Germany,759,Kai Havertz,Offence,1999-06-11,Germany
Germany,759,Leroy Sané,Offence,1996-01-11,Germany
Germany,759,Deniz Undav,Offence,1996-07-19,Germany
Germany,759,Jamie Leweling,Offence,2001-02-26,Germany
Germany,759,Nick Woltemade,Offence,2002-02-14,Germany
Germany,759,Maximilian Beier,Offence,2002-10-17,Germany
Spain,760,David Raya,Goalkeeper,1995-09-15,Spain
Spain,760,Unai Simón,Goalkeeper,1997-06-11,Spain
Spain,760,Joan García,Goalkeeper,2001-05-04,Spain
Spain,760,Aymeric Laporte,Defence,1994-05-27,Spain
Spain,760,Cucurella,Defence,1998-07-22,Spain
Spain,760,Alejandro Grimaldo,Defence,1995-09-20,Spain
Spain,760,Pedro Porro,Defence,1999-09-13,Spain
Spain,760,Eric García,Defence,2001-01-09,Spain
Spain,760,Marc Pubill,Defence,2003-06-20,Spain
Spain,760,Pau Cubarsí,Defence,2007-01-22,Spain
Spain,760,Fabián Ruiz,Midfield,1996-04-03,Spain
Spain,760,Marcos Llorente,Midfield,1995-01-30,Spain
Spain,760,Rodri,Midfield,1996-06-22,Spain
Spain,760,Mikel Merino,Midfield,1996-06-22,Spain
Spain,760,Dani Olmo,Midfield,1998-05-07,Spain
Spain,760,Ferrán Torres,Midfield,2000-02-29,Spain
Spain,760,Martín Zubimendi,Midfield,1999-02-02,Spain
