team,group,fifa_rank,rank_score,wc_matches,win_rate,draw_rate,avg_gf,avg_ga,avg_gd,avg_xg_scored,avg_xg_conceded,xg_matches
Argentina,J,1,1.0,23,0.7391,0.0435,1.6957,1.1739,0.5217,2.4167,1.554,11
Spain,H,2,0.9739,18,0.5,0.1667,1.5556,1.0,0.5556,2.3657,1.6853,8
France,I,3,0.957,22,0.6364,0.1364,1.8636,0.9545,0.9091,1.6967,1.3221,14
England,L,4,0.8833,19,0.4211,0.2105,1.5789,1.1053,0.4737,2.0444,1.3355,12
Portugal,K,5,0.8295,16,0.375,0.3125,1.8125,1.25,0.5625,1.35,1.201,9
Brazil,C,6,0.8187,22,0.5909,0.1364,1.6364,1.0909,0.5455,2.5949,0.7514,10
Morocco,C,7,0.7727,10,0.4,0.2,0.8,0.9,-0.1,1.2264,1.3216,10
Netherlands,F,8,0.7619,19,0.7895,0.0526,1.9474,0.7368,1.2105,1.7823,1.999,5
Belgium,G,9,0.7419,15,0.7333,0.0667,1.5333,0.7333,0.8,1.6419,1.3567,10
Germany,E,10,0.7235,20,0.65,0.1,2.1,0.9,1.2,2.4258,1.0844,6
Croatia,L,11,0.7035,17,0.6471,0.1176,1.6471,1.2941,0.3529,2.3319,2.1715,14
Colombia,K,12,0.6805,9,0.6667,0.0,2.0,0.7778,1.2222,1.8067,2.4894,4
Mexico,A,13,0.6575,15,0.4,0.2,0.9333,1.1333,-0.2,1.1603,1.6816,7
Senegal,I,14,0.6375,7,0.4286,0.1429,1.2857,1.5714,-0.2857,1.1345,0.9164,7
Uruguay,H,15,0.616,19,0.5789,0.1053,1.2632,1.0,0.2632,1.3338,0.6815,8
United States,D,16,0.596,12,0.25,0.4167,1.0833,1.25,-0.1667,0.9846,1.0647,4
Japan,F,17,0.576,15,0.3333,0.1333,1.1333,1.2667,-0.1333,1.5339,1.8071,8
Switzerland,B,18,0.5576,15,0.4,0.2,1.2,1.4667,-0.2667,1.2341,1.3145,8
Iran,G,19,0.5376,9,0.2222,0.2222,0.7778,1.4444,-0.6667,1.0886,1.4252,6
Ecuador,E,20,0.5192,6,0.3333,0.3333,1.1667,1.0,0.1667,1.2689,0.7054,3
Austria,J,21,0.4992,0,0.41,0.25,1.2,1.3,-0.1,1.02,1.105,0
South Korea,A,22,0.4808,14,0.2143,0.2143,1.2143,1.7857,-0.5714,0.9451,1.776,7
Australia,D,23,0.4608,13,0.2308,0.1538,0.9231,2.0,-1.0769,0.8,1.3363,7
Algeria,J,24,0.4424,7,0.1429,0.2857,1.0,1.2857,-0.2857,0.85,1.0929,0
Egypt,G,25,0.4224,3,0.0,0.0,0.6667,2.0,-1.3333,0.9952,1.8226,3
Canada,B,26,0.404,3,0.0,0.0,0.6667,2.3333,-1.6667,1.3095,1.2356,3
Norway,I,27,0.384,0,0.338,0.25,1.02,1.48,-0.46,0.867,1.258,0
Cote dIvoire,E,28,0.3656,6,0.3333,0.1667,1.3333,1.3333,0.0,1.1333,1.1333,0
Panama,L,29,0.3456,3,0.0,0.0,0.6667,3.6667,-3.0,0.7987,2.4109,3
Sweden,F,30,0.3272,5,0.6,0.0,1.2,0.8,0.4,1.4731,0.9269,5
Czech Republic,A,31,0.3072,0,0.29,0.25,0.9,1.6,-0.7,0.765,1.36,0
Paraguay,D,32,0.2888,5,0.4,0.4,0.6,0.4,0.2,0.51,0.34,0
Scotland,C,33,0.2688,0,0.266,0.25,0.84,1.66,-0.82,0.714,1.411,0
Tunisia,F,34,0.2504,6,0.3333,0.1667,1.0,1.5,-0.5,1.2328,1.8427,6
DR Congo,K,35,0.2304,0,0.242,0.25,0.78,1.72,-0.94,0.663,1.462,0
Curacao,E,36,0.212,0,0.23,0.25,0.75,1.75,-1.0,0.6375,1.4875,0
Qatar,B,37,0.192,3,0.0,0.0,0.3333,2.3333,-2.0,0.4693,1.257,3
Iraq,I,38,0.1736,0,0.206,0.25,0.69,1.81,-1.12,0.5865,1.5385,0
South Africa,A,39,0.1536,3,0.3333,0.3333,1.0,1.6667,-0.6667,0.85,1.4167,0
Saudi Arabia,H,40,0.1352,6,0.3333,0.0,0.8333,2.0,-1.1667,1.0449,1.7601,6
Cape Verde,H,41,0.1152,0,0.17,0.25,0.6,1.9,-1.3,0.51,1.615,0
Uzbekistan,K,42,0.0968,0,0.158,0.25,0.57,1.93,-1.36,0.4845,1.6405,0
Jordan,J,43,0.0768,0,0.146,0.25,0.54,1.96,-1.42,0.459,1.666,0
Bosnia and Herzegovina,B,44,0.0584,3,0.3333,0.0,1.3333,1.3333,0.0,1.1333,1.1333,0
Haiti,C,45,0.0384,0,0.122,0.25,0.48,2.02,-1.54,0.408,1.717,0
Ghana,L,46,0.02,11,0.2727,0.1818,1.2727,1.5455,-0.2727,1.1178,1.7004,3
New Zealand,G,47,0.0,3,0.0,1.0,0.6667,0.6667,0.0,0.5667,0.5667,0
Turkey,D,48,0.3,0,0.086,0.25,0.39,2.11,-1.72,0.3315,1.7935,0
